name,market,funding_total_usd,country_code,region,city,funding_rounds,founded_month,founded_quarter,founded_year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,age_first_funding,age_last_funding,status_binary,total_investment
1000memories,Curated Web ," 25,35,000 ",USA,SF Bay Area,San Francisco,2.0,7.0,3.0,2010.0,15000.0,2520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6301369863013698,1,2535000.0
10BestThings,Curated Web ," 50,000 ",USA,Cleveland,Cleveland,1.0,4.0,2.0,2009.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50000.0
1bib,Curated Web ,-   ,CHN,Guangzhou,Guangzhou,1.0,1.0,1.0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1013698630136988,2.1013698630136988,0,0.0
1Cast,Other,-   ,USA,Seattle,Kirkland,1.0,6.0,2.0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,0,0.0
1DayMakeover,E-Commerce ," 50,000 ",USA,"Orange County, California",Santa Ana,1.0,6.0,2.0,2008.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50000.0
24PageBooks,Software ," 50,000 ",USA,"Rochester, New York",Rochester,1.0,1.0,1.0,2010.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3917808219178085,1.3917808219178085,0,50000.0
3ClickEMR Corporation,Other," 5,00,000 ",USA,Boston,West Roxbury,2.0,6.0,2.0,2010.0,250000.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9397260273972604,0,500000.0
3i Systems,Semiconductors ," 1,37,08,150 ",CHN,Guangdong,Guangdong,3.0,11.0,4.0,2006.0,0.0,13708150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.331506849315069,0,13708150.0
3TIER,Clean Technology ," 1,50,00,000 ",USA,Seattle,Seattle,3.0,1.0,1.0,1999.0,0.0,15000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,8.682191780821919,11.158904109589042,1,15000000.0
3Touch,Software ," 2,72,000 ",IRL,IRL - Other,Athlone,1.0,1.0,1.0,2003.0,0.0,272000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.331506849315068,4.331506849315068,0,272000.0
4Blox,Software ,-   ,USA,SF Bay Area,San Jose,1.0,8.0,3.0,2006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1095890410958904,1.1095890410958904,0,0.0
4Home,Other," 94,16,354 ",USA,SF Bay Area,Sunnyvale,6.0,1.0,1.0,2006.0,0.0,9146354.0,0.0,0.0,270000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2850000.0,1000000.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.5808219178082191,4.093150684931507,1,9416354.0
500Friends,E-Commerce ," 1,29,00,000 ",USA,SF Bay Area,San Francisco,6.0,1.0,1.0,2010.0,1400000.0,9500000.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500000.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.194520547945205,1,12900000.0
56.com,Other," 3,00,00,000 ",CHN,Guangzhou,Guangzhou,2.0,4.0,2.0,2005.0,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1671232876712327,2.6684931506849314,1,30000000.0
5min Media,Other," 1,28,00,000 ",USA,New York City,New York,3.0,1.0,1.0,2007.0,0.0,12500000.0,0.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,7500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2465753424657534,2.558904109589041,1,12800000.0
5to1,Other," 1,71,29,760 ",USA,Seattle,Seattle,4.0,1.0,1.0,2009.0,0.0,15302260.0,0.0,0.0,0.0,1827500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4575342465753425,1.8575342465753424,1,17129760.0
60mo,Finance ," 13,00,000 ",GBR,Edinburgh,Edinburgh,3.0,6.0,2.0,2009.0,300000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0767123287671232,1.6356164383561644,1,1300000.0
6th Sense Analytics,Software ," 67,00,000 ",USA,Raleigh,Morrisville,2.0,1.0,1.0,2004.0,0.0,6700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8630136986301369,3.084931506849315,1,6700000.0
7 Billion People,E-Commerce ," 65,28,902 ",USA,Austin,Austin,3.0,1.0,1.0,2006.0,3800000.0,2368902.0,0.0,0.0,0.0,360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1095890410958904,6.534246575342466,0,6528902.0
77 Pieces,Curated Web ," 6,50,000 ",NZL,Wellington,Wellington,1.0,5.0,2.0,2010.0,650000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7671232876712328,0.7671232876712328,0,650000.0
7digital,Other," 2,01,00,000 ",GBR,London,London,4.0,1.0,1.0,2004.0,0.0,18500000.0,0.0,0.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6684931506849314,9.906849315068492,1,20100000.0
8thBridge,E-Commerce ," 1,55,90,000 ",USA,Minneapolis,Minneapolis,3.0,11.0,4.0,2008.0,0.0,15000000.0,0.0,0.0,0.0,0.0,590000.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0410958904109588,2.3835616438356166,1,15590000.0
91 Wireless,Mobile ," 3,00,00,000 ",CHN,Fuzhou Shi,Fuzhou Shi,1.0,9.0,3.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2493150684931509,1.2493150684931509,1,30000000.0
99times.cn,E-Commerce ,-   ,CHN,Shanghai,Shanghai,1.0,1.0,1.0,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6438356164383565,5.6438356164383565,0,0.0
9car Technology LLC,Other," 80,000 ",CHN,Beijing,Beijing,2.0,11.0,4.0,2009.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1342465753424657,0,80000.0
Aarden Pharmaceuticals,Biotechnology ," 5,00,000 ",USA,Indianapolis,Indianapolis,1.0,1.0,1.0,2008.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.008219178082192,3.008219178082192,0,500000.0
Aardvark,Search ," 60,00,000 ",USA,SF Bay Area,San Francisco,2.0,7.0,3.0,2007.0,0.0,5250000.0,0.0,0.0,0.0,0.0,750000.0,0.0,0.0,0.0,0.0,0.0,0.0,5250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2547945205479452,1,6000000.0
Abacast,Analytics ," 5,00,000 ",USA,Seattle,Vancouver,1.0,4.0,2.0,2000.0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.616438356164384,10.616438356164384,1,500000.0
Abaxia,Software ," 17,70,000 ",FRA,Neuilly-sur-seine,Neuilly-sur-seine,1.0,1.0,1.0,2001.0,0.0,1770000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.854794520547945,4.854794520547945,1,1770000.0
ABC Live,Advertising ," 25,000 ",IND,Chandigarh,Chandigarh,1.0,12.0,4.0,2007.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.915068493150685,0,25000.0
Academic Earth,Other,-   ,USA,SF Bay Area,San Francisco,1.0,1.0,1.0,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7506849315068493,0.7506849315068493,1,0.0
AccelGolf,Finance ," 4,57,282 ",USA,Boston,Cambridge,7.0,8.0,3.0,2008.0,18000.0,150000.0,0.0,0.0,0.0,235000.0,0.0,54282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3424657534246576,0,457282.0
Accenx Technologies,Software ," 15,00,000 ",USA,Anaheim,Irvine,1.0,1.0,1.0,1997.0,0.0,0.0,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.164383561643836,12.164383561643836,1,1500000.0
Accept Software,Other," 2,53,05,000 ",USA,SF Bay Area,Santa Clara,4.0,1.0,1.0,2002.0,0.0,25305000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1055000.0,17000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,3.7095890410958905,8.956164383561644,1,25305000.0
Accertify,Security ," 71,31,124 ",USA,Chicago,Itasca,3.0,3.0,1.0,2007.0,0.0,7131124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,2431124.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2602739726027397,3.1780821917808217,1,7131124.0
Access Closure,Health Care ," 1,37,93,098 ",USA,SF Bay Area,Mountain View,3.0,1.0,1.0,2002.0,0.0,13793098.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.172602739726027,10.756164383561645,1,13793098.0
Access Northeast,Other," 19,99,998 ",USA,Boston,Marlborough,1.0,1.0,1.0,1999.0,0.0,1999998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9013698630137,10.9013698630137,1,1999998.0
Access Scientific,Health Care ," 2,13,76,001 ",USA,San Diego,San Diego,6.0,1.0,1.0,2004.0,0.0,20626001.0,0.0,0.0,0.0,750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.767123287671233,8.476712328767123,1,21376001.0
Accuvant,Security ," 81,98,838 ",USA,Denver,Denver,4.0,1.0,1.0,2002.0,0.0,8198838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.501369863013698,12.8,1,8198838.0
Aceris 3D Inspection,Semiconductors ," 48,80,000 ",CAN,Montreal,Montréal,1.0,1.0,1.0,2000.0,0.0,4880000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.413698630136986,7.413698630136986,0,4880000.0
Aceva Technologies,Enterprise Software ," 52,80,000 ",USA,SF Bay Area,San Mateo,1.0,1.0,1.0,1999.0,0.0,5280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5280000.0,0.0,0.0,0.0,0.0,6.556164383561644,6.556164383561644,1,5280000.0
Acopia Networks,Software ," 2,00,00,000 ",USA,Boston,Lowell,1.0,1.0,1.0,2002.0,0.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.465753424657534,4.465753424657534,1,20000000.0
Acoustic Technologies,Software ," 79,74,296 ",USA,Austin,Austin,1.0,1.0,1.0,1998.0,0.0,7974296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.287671232876711,15.287671232876711,1,7974296.0
Activaero,Biotechnology ," 2,25,85,000 ",DEU,DEU - Other,Gemünden,2.0,1.0,1.0,2004.0,0.0,22585000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22585000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.890410958904109,7.131506849315069,1,22585000.0
Active Storage,Enterprise Software ," 1,64,00,000 ",USA,Los Angeles,Torrance,4.0,10.0,4.0,2008.0,0.0,15000000.0,0.0,0.0,0.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0904109589041096,3.90958904109589,0,16400000.0
Ad Infuse,Mobile ," 1,76,00,000 ",USA,SF Bay Area,San Francisco,3.0,11.0,4.0,2005.0,600000.0,17000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2273972602739724,1,17600000.0
Ad Knights,Other," 50,000 ",USA,Houston,Houston,1.0,3.0,1.0,2010.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,50000.0
adaffix,Mobile ,-   ,AUT,Vienna,Vienna,1.0,4.0,2.0,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2465753424657534,0,0.0
Adapt Technologies,Advertising ," 1,00,00,000 ",USA,Los Angeles,Pasadena,1.0,1.0,1.0,2001.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.446575342465754,4.446575342465754,1,10000000.0
Adaptive TCR,Biotechnology ," 1,03,50,000 ",USA,Seattle,Seattle,2.0,1.0,1.0,2009.0,0.0,10350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4550000.0,5800000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2301369863013698,2.4383561643835616,0,10350000.0
Adaptivity,Enterprise Software ," 2,48,45,955 ",USA,Charlotte,Charlotte,6.0,1.0,1.0,2007.0,0.0,23940640.0,0.0,0.0,0.0,905315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10200000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8438356164383563,6.013698630136986,1,24845955.0
Adar IT,Software ," 24,00,000 ",USA,Chicago,Lincolnwood,1.0,1.0,1.0,1998.0,0.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.104109589041094,16.104109589041094,1,2400000.0
ADCentricity,Other," 29,40,000 ",CAN,Toronto,Toronto,1.0,3.0,1.0,2007.0,0.0,2940000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2940000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.282191780821918,1.282191780821918,1,2940000.0
AddIn Social,Social Media ," 54,493 ",CAN,Ottawa,Ottawa,2.0,12.0,4.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,54493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3698630136986301,0,54493.0
Adea,Other," 50,00,000 ",USA,Dallas,Irving,1.0,1.0,1.0,1996.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.008219178082191,11.008219178082191,1,5000000.0
AdECN,Other," 31,00,000 ",USA,Santa Barbara,Carpinteria,1.0,1.0,1.0,2003.0,0.0,3100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0876712328767124,3.0876712328767124,1,3100000.0
AdexLink,Advertising ," 20,00,000 ",USA,SF Bay Area,Campbell,1.0,8.0,3.0,2010.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8164383561643835,0.8164383561643835,0,2000000.0
AdGrok,Advertising ," 4,70,000 ",USA,SF Bay Area,San Francisco,2.0,5.0,2.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,470000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8493150684931506,1,470000.0
Adhysteria,Other," 10,000 ",IND,Mumbai,Mumbai,1.0,9.0,3.0,2007.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1698630136986301,0,10000.0
Adiana,Biotechnology ," 2,30,00,000 ",USA,SF Bay Area,Redwood City,1.0,1.0,1.0,1997.0,0.0,23000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23000000.0,0.0,0.0,0.0,0.0,8.652054794520549,8.652054794520549,1,23000000.0
adicate timeads,Advertising ," 29,00,000 ",NOR,NOR - Other,Fredrikstad,3.0,11.0,4.0,2005.0,400000.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0821917808219177,0,2900000.0
Adify,Advertising ," 2,70,00,000 ",USA,SF Bay Area,San Bruno,2.0,8.0,3.0,2006.0,0.0,27000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,19000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931506849315069,1,27000000.0
Adility,Other," 1,00,000 ",USA,SF Bay Area,San Francisco,2.0,2.0,1.0,2009.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.410958904109589,2.5945205479452054,1,100000.0
Adjug,Other," 65,00,000 ",GBR,London,London,1.0,1.0,1.0,2007.0,0.0,6500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1643835616438356,1.1643835616438356,1,6500000.0
Adku,Software ," 15,40,000 ",USA,SF Bay Area,San Francisco,3.0,8.0,3.0,2010.0,1540000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2520547945205479,1.356164383561644,1,1540000.0
Admeld,Other," 3,00,00,000 ",USA,New York City,New York,3.0,10.0,4.0,2007.0,0.0,30000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0,8000000.0,15000000.0,0.0,0.0,0.0,0.0,0.0,1.1123287671232878,2.835616438356164,1,30000000.0
ADMETA,Other," 50,00,000 ",SWE,Gothenburg,Göteborg,1.0,1.0,1.0,2002.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.002739726027397,6.002739726027397,1,5000000.0
Adometry By Google,Other," 2,91,25,000 ",USA,Austin,Austin,4.0,1.0,1.0,2005.0,0.0,29125000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,10025000.0,6000000.0,8100000.0,0.0,0.0,0.0,0.0,2.1013698630136988,7.994520547945205,1,29125000.0
Adomo,Messaging ," 2,20,00,000 ",USA,SF Bay Area,Cupertino,2.0,8.0,3.0,1999.0,0.0,22000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2520547945205479,7.912328767123288,1,22000000.0
AdoTube,Other," 12,30,000 ",USA,New York City,New York,2.0,2.0,1.0,2007.0,1230000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4246575342465753,1.095890410958904,1,1230000.0
AdQuantic,Advertising ,-   ,FRA,Paris,Paris,1.0,1.0,1.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0876712328767124,3.0876712328767124,1,0.0
AdReady,Advertising ," 1,78,07,000 ",USA,Seattle,Seattle,4.0,1.0,1.0,2006.0,0.0,17807000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,10000000.0,5300000.0,0.0,0.0,0.0,0.0,0.0,1.4958904109589042,6.468493150684932,1,17807000.0
adSage,Software ," 2,00,00,000 ",USA,Seattle,Bellevue,1.0,1.0,1.0,2007.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.668493150684932,4.668493150684932,1,20000000.0
Adtuitive,Advertising ," 13,00,000 ",USA,New York City,New York,1.0,7.0,3.0,2008.0,0.0,1300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.589041095890411,0.589041095890411,1,1300000.0
Aductions,Advertising ," 1,00,000 ",USA,SF Bay Area,San Jose,1.0,3.0,1.0,2007.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3041095890410959,0.3041095890410959,1,100000.0
Adura Technologies,Other," 2,55,00,000 ",USA,SF Bay Area,San Francisco,3.0,1.0,1.0,2008.0,0.0,25500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0,20500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7917808219178082,4.32054794520548,1,25500000.0
Advanced BioHealing,Biotechnology ," 3,35,00,000 ",USA,Hartford,Westport,2.0,1.0,1.0,2003.0,0.0,33500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,25500000.0,0.0,0.0,0.0,0.0,0.0,2.8904109589041096,4.158904109589041,1,33500000.0
Advanced In Vitro Cell Technologies,Health Care ," 1,62,11,800 ",ESP,Barcelona,Barcelona,1.0,1.0,1.0,2001.0,0.0,16211800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.912328767123288,6.912328767123288,1,16211800.0
Advanced Marketing & Media Group,Advertising ," 5,00,000 ",USA,Hartford,Stamford,1.0,2.0,1.0,2007.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0383561643835616,0.0383561643835616,0,500000.0
Advanced Mobile Solutions,Other,-   ,USA,Philadelphia,Wayne,1.0,1.0,1.0,1998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1,0.0
Advanced Ophthalmic Pharma,Biotechnology ," 20,00,000 ",ISR,Tel Aviv,Tel Aviv,1.0,1.0,1.0,2007.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.334246575342466,3.334246575342466,0,2000000.0
Advanced Power Projects,Clean Technology ," 1,30,00,000 ",USA,SF Bay Area,Fremont,1.0,1.0,1.0,2009.0,0.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7917808219178082,0,13000000.0
Advasense,Semiconductors ," 2,40,00,000 ",ISR,Tel Aviv,Ra'anana,3.0,1.0,1.0,2004.0,0.0,24000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0684931506849316,3.197260273972603,1,24000000.0
AdXpose,Other," 2,28,00,000 ",USA,Seattle,Seattle,3.0,1.0,1.0,2005.0,0.0,22800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9800000.0,10000000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,2.084931506849315,6.257534246575342,1,22800000.0
